38	2	1
37	1	1
36	0	1
40	12	1
42	14	1
46	10	3
45	9	1
49	21	1
53	17	1
52	16	79
51	23	3
9	44	3008000
10	47	283128
70	99	2
30	59	618
31	58	94000
32	5	6
27	62	4
18	55	2
2	39	2
6	35	1
15	42	3
37	0	1
36	1	1
40	13	1
42	15	1
47	10	1
46	11	4
45	8	1
49	20	1
52	17	595
51	22	3
9	47	3008000
10	44	1128
32	6	537
70	96	12
30	56	96
27	61	4
2	36	2
1	39	2
15	41	3
38	0	1
37	3	5
36	2	1
40	14	1
39	1	377
42	12	1
47	9	2
46	8	3
45	11	1
49	23	1
52	18	73
51	21	3
9	46	3008000
10	45	2256
32	7	536
70	97	6
30	57	618
27	60	4
25	62	1
2	37	2
1	38	2
6	33	1
15	40	3
